Durusdinium33176	potassium:proton antiporter activity
Durusdinium3162	high-affinity nickel-transport family protein
Durusdinium18169	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity
Durusdinium47383	protein folding
Durusdinium37230	Cullin 4B
Durusdinium33208	SNF2 RAD54 helicase family protein
Durusdinium23672	DnaJ domain-containing protein
Durusdinium19336	DEAD-box ATP-dependent RNA helicase 37
Durusdinium38766	Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits
Durusdinium20023	Ribosomal protein S19e
Durusdinium29636	Immunoglobulin mu binding protein 2
Durusdinium20416	Glycosyl hydrolase family 3 N terminal domain
Durusdinium27868	cytochrome C oxidase assembly protein cox11
Durusdinium21819	peptide-aspartate beta-dioxygenase activity
Durusdinium56435	Transport protein particle component, Bet3 domain-containing protein
Durusdinium40570	alpha-1,4-glucan synthase activity
Durusdinium23832	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA
Durusdinium4163	NUDIX domain
Durusdinium17301	DNA-directed RNA polymerase I
Durusdinium34709	3-beta hydroxysteroid dehydrogenase/isomerase family
Durusdinium54936	Poly(A) RNA polymerase
Durusdinium35830	3-oxo-5-alpha-steroid 4-dehydrogenase
Durusdinium29338	Ppx/GppA phosphatase family
Durusdinium46289	oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor
Durusdinium43411	Ubiquitin carboxyl-terminal hydrolase
Durusdinium33538	Regulator of chromosome condensation 2
Durusdinium10120	Frataxin-like domain
Durusdinium26647	Activating signal cointegrator 1 complex subunit 3 family 1 ASCC3L1
Durusdinium41796	Calcineurin-like phosphoesterase
Durusdinium23325	tRNA dihydrouridine synthase activity
Durusdinium46545	Source PGD
Durusdinium19485	protein transport
Durusdinium25720	zinc ion binding
Durusdinium43665	ATP binding
Durusdinium19871	Epsin N-terminal homology (ENTH) domain
Durusdinium33801	Violaxanthin deepoxidase
Durusdinium40136	Enolase, N-terminal domain
Durusdinium18995	Belongs to the thiamine pyrophosphokinase family
Durusdinium55787	HD domain
Durusdinium10017	Protein of unknown function (DUF2854)
Durusdinium26462	Cytidylyltransferase-like
Durusdinium40594	ATP-grasp domain
Durusdinium24530	Belongs to the DHHC palmitoyltransferase family
Durusdinium28493	cobalamin synthesis CobW domain protein
Durusdinium6886	PPPDE putative peptidase domain
Durusdinium35726	pyrroline-5-carboxylate reductase activity
Durusdinium12195	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
Durusdinium38590	ATP-dependent RNA helicase
Durusdinium17621	Belongs to the class I-like SAM-binding methyltransferase superfamily. TPMT family
Durusdinium34711	peptide-aspartate beta-dioxygenase activity
Durusdinium39066	Peptidase S24-like
Durusdinium50961	female pronucleus assembly
Durusdinium30213	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
Durusdinium38579	NADH:flavin oxidoreductase / NADH oxidase family
Durusdinium28578	Extension to Ser/Thr-type protein kinases
Durusdinium37254	ribosomal protein
Durusdinium24482	Sugar efflux transporter for intercellular exchange
Durusdinium38270	Putative methyltransferase
Durusdinium34549	raffinose alpha-galactosidase activity
Durusdinium10668	It is involved in the biological process described with protein phosphorylation
Durusdinium10661	Nuclear pore complex protein
Durusdinium20435	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Durusdinium38990	Natural resistance-associated macrophage protein
Durusdinium25885	methyltransferase activity
Durusdinium30430	Glucokinase
Durusdinium35702	Oxidoreductase family, NAD-binding Rossmann fold
Durusdinium8095	Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer). Plays a central role in phospholipid metabolism and in the interorganelle trafficking of phosphatidylserine
Durusdinium17921	Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine
Durusdinium46604	serine threonine-protein kinase
Durusdinium37462	methyltransferase activity
Durusdinium17640	RNA binding domain
Durusdinium35971	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate
Durusdinium33310	Glutathione peroxidase
Durusdinium3849	dynein heavy chain binding
Durusdinium15309	von Willebrand factor (vWF) type A domain
Durusdinium47762	microtubule motor activity. It is involved in the biological process described with microtubule-based movement
Durusdinium24974	palmitoyl-(protein) hydrolase activity
Durusdinium19824	Malic enzyme. Source PGD
Durusdinium20578	ATP-dependent serine protease that mediates the selective degradation of misfolded and unassembled polypeptides in the peroxisomal matrix. Necessary for type 2 peroxisome targeting signal (PTS2)-containing protein processing and facilitates peroxisome matrix protein import
Durusdinium25332	Cold shock protein domain
Durusdinium29691	26S proteasome, regulatory subunit
Durusdinium21604	XRN 5'-3' exonuclease N-terminus
Durusdinium33358	calcium-dependent cysteine-type endopeptidase activity
Durusdinium41028	Chlorophyll A-B binding protein
Durusdinium39813	DNA photolyase activity
Durusdinium17327	ribosomal protein
Durusdinium15802	COG0656 Aldo keto reductases, related to diketogulonate reductase
Durusdinium28645	Haloacid dehalogenase-like hydrolase
Durusdinium8668	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Durusdinium43090	oxidoreductase activity
Durusdinium31504	polypeptide N-acetylgalactosaminyltransferase activity
Durusdinium4214	X-domain of DnaJ-containing
Durusdinium12700	belongs to the protein kinase superfamily
Durusdinium45878	heavy chain 5
Durusdinium34429	Domain of unknown function (DUF3543)
Durusdinium30866	This enzyme acetylates the N-terminal alanine of ribosomal protein S18
Durusdinium40285	polysaccharide catabolic process
Durusdinium30254	calcium, potassium:sodium antiporter activity
Durusdinium29617	UbiA prenyltransferase family
Durusdinium22613	domain in TBC and LysM domain containing proteins
Durusdinium32263	EF hand
Durusdinium31044	5'(3')-deoxyribonucleotidase, cytosolic type
Durusdinium40636	FAD binding domain of DNA photolyase
Durusdinium37138	NAD-dependent histone deacetylase activity (H3-K18 specific)
Durusdinium46167	symporter activity
Durusdinium30078	regulation of intraciliary retrograde transport
Durusdinium16274	Extension to Ser/Thr-type protein kinases
Durusdinium41137	Chlorophyll A-B binding protein
Durusdinium46801	Modified RING finger domain
Durusdinium15008	deSI-like protein At4g17486
Durusdinium51042	heavy chain
Durusdinium7614	2OG-Fe(II) oxygenase superfamily
Durusdinium34076	Belongs to the sirtuin family. Class I subfamily
Durusdinium24144	Histone methylation protein DOT1
Durusdinium41857	molecular chaperone
Durusdinium38096	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium35963	Chromate transporter
Durusdinium54195	Novel protein. Source PGD
Durusdinium24780	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Durusdinium39631	Phytanoyl-CoA dioxygenase (PhyH)
Durusdinium8188	Splicing factor 3B subunit 10 (SF3b10)
Durusdinium13007	PFAM FKBP-type peptidyl-prolyl isomerase domain protein
Durusdinium45756	ribosomal protein S7
Durusdinium20312	tRNA-guanine transglycosylation
Durusdinium33297	1-phosphatidylinositol-4-phosphate 5-kinase activity
Durusdinium37321	oxidoreductase activity
Durusdinium52051	Poly3-Hydroxybutyrate Depolymerase
Durusdinium31694	negative regulation of low-density lipoprotein particle clearance
Durusdinium46717	phosphoglycerate mutase. Source PGD
Durusdinium32976	Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
Durusdinium51590	TTK protein kinase
Durusdinium32120	Belongs to the universal ribosomal protein uL11 family
Durusdinium32085	calcium-dependent cysteine-type endopeptidase activity
Durusdinium26603	pfkB family carbohydrate kinase
Durusdinium50247	mitochondrial pyruvate transmembrane transport
Durusdinium3699	Zinc ion binding
Durusdinium40052	Cyclin-dependent kinase 3
Durusdinium30014	phosphate ion transport
Durusdinium30610	mismatched DNA binding
Durusdinium41589	oxidoreductase activity
Durusdinium30389	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
Durusdinium49590	Bacterial extracellular solute-binding proteins, family 5 Middle
Durusdinium36441	biotin lipoate A B protein ligase
Durusdinium26402	phosphatase
Durusdinium32180	ELMO domain-containing protein 3
Durusdinium30992	homolog 6
Durusdinium23127	-
Durusdinium28135	LsmAD
Durusdinium17098	transferase activity, transferring hexosyl groups
Durusdinium34752	cGMP-dependent protein kinase activity
Durusdinium11850	calcium ion binding
Durusdinium36579	pre-rrna-processing protein esf2
Durusdinium31331	Belongs to the GDA1 CD39 NTPase family
Durusdinium28911	Carboxylesterase family
Durusdinium8548	ribosomal protein
Durusdinium35057	DEAD-box ATP-dependent RNA helicase
Durusdinium7670	Rhomboid family
Durusdinium41475	Sperm tail C-terminal domain
Durusdinium51606	PFAM major facilitator superfamily MFS_1
Durusdinium16631	TatD related DNase
Durusdinium32253	protein K11-linked ubiquitination
Durusdinium15239	Belongs to the protein kinase superfamily
Durusdinium30297	alpha-L-fucosidase activity
Durusdinium52404	GTP-binding Protein
Durusdinium53148	Solute carrier family 9, subfamily A (NHE9, cation proton antiporter 9), member 9
Durusdinium29910	rRNA methyltransferase
Durusdinium16423	OTU-like cysteine protease
Durusdinium24440	FAD binding domain
Durusdinium3763	glutathione transferase activity
Durusdinium27044	Drug resistance transporter Bcr CflA subfamily
Durusdinium39588	Chlorophyll A-B binding protein
Durusdinium3453	Major facilitator superfamily
Durusdinium33159	GNT-I family
Durusdinium35948	aspartic-type endopeptidase activity
Durusdinium31147	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Durusdinium36002	cysteine-type peptidase activity
Durusdinium13430	protein-cysteine S-palmitoyltransferase activity
Durusdinium41165	CDP-alcohol phosphatidyltransferase. Source PGD
Durusdinium6672	response to arachidonic acid
Durusdinium36680	serine threonine-protein kinase
Durusdinium30895	Carboxylesterase family
Durusdinium32898	16S rRNA methyltransferase RsmB/F
Durusdinium38442	N,N-dimethylaniline monooxygenase activity
Durusdinium32655	molecular chaperone
Durusdinium14096	TIGRFAM drug resistance transporter, Bcr CflA subfamily
Durusdinium3125	Malate/L-lactate dehydrogenase
Durusdinium21157	Aamy_C
Durusdinium23247	Polynucleotide kinase 3 phosphatase
Durusdinium32446	protein serine/threonine kinase activity
Durusdinium37131	ABC transporter
Durusdinium30	3',5'-cyclic-nucleotide phosphodiesterase activity
Durusdinium22411	OTU domain-containing protein At3g57810-like
Durusdinium39715	FKBP-type peptidyl-prolyl cis-trans isomerase
Durusdinium38299	Serine/Threonine protein kinases, catalytic domain
Durusdinium25230	metallophosphoesterase
Durusdinium35435	Prolyl 4-hydroxylase alpha subunit homologues.
Durusdinium39526	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
Durusdinium5867	malate-aspartate shuttle
Durusdinium23828	neutral amino acid transmembrane transporter activity
Durusdinium15590	Serine/Threonine protein kinases, catalytic domain
Durusdinium35823	It is involved in the biological process described with tricarboxylic acid cycle
Durusdinium3416	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Durusdinium1575	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Durusdinium13090	glycerophosphoryl diester phosphodiesterase
Durusdinium49698	Phosphoglycerate bisphosphoglycerate mutase family protein
Durusdinium23301	RAB1A, member RAS oncogene family
Durusdinium4518	Lactamase, beta 2
Durusdinium39420	ABC transporter B family member 26
Durusdinium33201	COG5285 Protein involved in biosynthesis of mitomycin antibiotics polyketide fumonisin
Durusdinium46819	belongs to the protein kinase superfamily
Durusdinium35813	Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Durusdinium49271	peptide-methionine (S)-S-oxide reductase activity
Durusdinium15759	Thioredoxin domain-containing protein
Durusdinium29581	Tetratricopeptide repeat
Durusdinium20373	HAD-hyrolase-like
Durusdinium22647	Ankyrin repeat
Durusdinium24873	SUMO transferase activity
Durusdinium41928	pectin acetylesterase activity
Durusdinium53575	Protein of unknown function (DUF938)
Durusdinium8672	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate
Durusdinium27238	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
Durusdinium54282	Photosystem II Pbs27
Durusdinium40808	ATP binding
Durusdinium34276	valyl-tRNA aminoacylation
Durusdinium15304	Small nuclear ribonucleoprotein
Durusdinium52302	sequence-specific DNA binding transcription factor activity
Durusdinium16016	peptidyl-arginine methylation, to symmetrical-dimethyl arginine
